"Sample","Genotype","Replicate","L","L_SE","k","k_SE","x0","x0_SE","R2","RMSE"
"1SG1T1",1,1,233.179366808588,2.64219411548386,0.0615107102589064,0.00400232617495914,46.8818800521005,0.75954735984388,0.992936024985225,6.64106079942571
"1SG1T2",1,2,222.164036011681,2.4244097251152,0.0680988559662593,0.00466036576319001,43.1986300677485,0.744002876861118,0.991869276651207,6.51427350766062
"1SG1T3",1,3,519.01293988604,5.80342664044789,0.0426704244943309,0.00190131555597492,50.8211787186033,0.660382493918573,0.99697434280934,9.43069266035195
"1SG1T4",1,4,423.660359585567,13.5233311767737,0.0285381155940841,0.00211411186666443,55.6937040451685,1.38446892999455,0.994837610832946,9.24117052720761
"1SG1T5",1,5,244.272057158022,2.31761930495344,0.0543185641539982,0.00262549291186796,52.3673490476612,0.611338918916493,0.996374960516837,5.1984175217376
"1SG2T1",2,1,235.198135987867,1.89079062764215,0.0553218045947325,0.00234381342383786,44.0408102475691,0.538055115675823,0.996936018159396,4.18290875443279
"1SG2T2",2,2,172.111038990962,1.36453077361116,0.0548079826238868,0.00212221963782171,59.7104804251461,0.481667750560005,0.998042551159843,2.86762852165991
"1SG2T3",2,3,263.694645046623,2.059032089414,0.0586745381452754,0.00253145122543972,48.0131059246082,0.519796790381332,0.996915685746831,4.99422094435086
"1SG2T4",2,4,199.46568279807,2.26383615503348,0.0516189180686854,0.00275352757733345,58.2202038893206,0.697386670633755,0.996049725882558,4.6311822029471
"1SG2T5",2,5,77.2582666959361,0.935929833876554,0.0887170772361423,0.00789386197738791,41.3649606354962,0.782878658247441,0.987678247848958,2.78663933942865
"1SG3T1",3,1,278.188516572934,2.25931713700344,0.0449271275911223,0.00153949888607559,56.0438969291452,0.494132229570281,0.998236065913821,4.11483508412627
"1SG3T2",3,2,333.889411072765,2.58316546211317,0.044513336255939,0.00142094523633195,48.3287300263215,0.466214875324451,0.998431284363675,4.3171981360774
"1SG3T3",3,3,269.078525954265,2.07830663998767,0.0441854138285733,0.00143017833646976,52.0118264050287,0.468153248639015,0.998371473960399,3.66091486208503
"1SG3T4",3,4,233.522890510902,6.10167890690292,0.0318479673959208,0.00214802966478969,52.2142051681524,1.23671655818496,0.995093681186439,5.05857590342837
"1SG3T5",3,5,257.671529502049,1.32539090859422,0.054168590961475,0.00143755992878961,49.6246679036918,0.337085539298877,0.998862727337209,3.00051427359641
"1SG4T1",4,1,347.1441578472,15.8492208096631,0.0310418876324501,0.00316474217427654,47.815400139194,2.22951353786552,0.990092189025795,10.2331129185478
"1SG4T2",4,2,289.519874667348,2.1725796377734,0.0666148447080194,0.00312848904712554,41.3308909138044,0.519942047438602,0.99619190442387,5.69864180667567
"1SG4T3",4,3,387.760561115428,14.1908410071127,0.0421597590926978,0.0050556980859599,43.5529328847428,2.06323680868307,0.980962648755936,16.6350750643451
"1SG4T4",4,4,202.93970955413,3.07907517712114,0.0657582844468015,0.00612916656536162,43.0298595643086,1.03996794599686,0.985377955871554,8.08858818043219
"1SG4T5",4,5,206.017927698443,9.11896933153054,0.0376475200243364,0.00479829066449017,45.7156702661956,2.35493266358161,0.980518421530674,8.94020106147324
"1SG6T1",6,1,286.88593337156,21.8629934617095,0.0376992729326405,0.00532530415773994,36.5311906084139,4.07360273977483,0.980163216691861,11.080657502429
"1SG6T2",6,2,161.335545289202,1.14810888610058,0.0651122012337262,0.00282700689763916,39.3964422921804,0.496015934613034,0.996780728249683,2.82183945647471
"1SG6T3",6,3,44.1309798683693,0.24355288833521,0.0773178053030386,0.00300789091930977,38.8490888588144,0.382096667885101,0.997386346491249,0.695067329021415
"1SG6T4",6,4,311.019203447225,2.8388186023917,0.0620809346858961,0.00268678239230387,35.5676161126922,0.58099170096783,0.997101709292613,4.7857091768866
"1SG6T5",6,5,266.760620682114,1.74265181507978,0.0555492327630756,0.00164012872697699,38.5900619446195,0.414922620729993,0.998623560770181,2.94505736840347
"1SG7T1",7,1,182.637946928991,1.74312541505254,0.075289638313298,0.00471812245528172,44.3849384538579,0.631605128176803,0.993620165616708,4.87538075744654
"1SG7T2",7,2,144.332301822152,2.33626619037825,0.0410730091509349,0.00251936276868892,51.2706857181655,0.930830997611869,0.994383177950528,3.54354923060331
"1SG7T3",7,3,142.890885540785,1.36919678644927,0.047057141324709,0.00200742430985582,48.0777665564354,0.598272838461906,0.997093582174284,2.5345531012926
"1SG7T4",7,4,109.550048139479,1.13894799136915,0.0515147448978107,0.00262803017089483,51.3798204122116,0.669527772540114,0.995927564009888,2.4500686631351
"1SG7T5",7,5,246.374507667067,3.0749027707985,0.0978313259999314,0.00910153939984558,46.1775024288736,0.75689047499448,0.989112376406951,9.13071610935111
"1SG8T1",8,1,121.626534189666,2.44502983151172,0.046826293079924,0.00415813186974281,54.992898018327,1.24410552173848,0.987594254459549,4.6968656815573
"1SG8T2",8,2,204.817452113528,2.52439216809142,0.0453427759939193,0.00234569589044456,47.5810932241752,0.749805617496345,0.995797940777897,4.29172067426684
"1SG8T3",8,3,158.718732959612,0.880481064292903,0.0512037627893267,0.00137982823125392,52.3314617297651,0.355070486465885,0.998860298339866,1.87742369507251
"1SG8T4",8,4,232.265577546099,3.2229145748764,0.0400764347604525,0.00207345008966037,54.6228400835089,0.793592586146075,0.996066831403507,4.8994153681183
"1SG8T5",8,5,144.072280801221,1.4449408122269,0.0568687347691781,0.00290878374308359,40.243863547598,0.665656630688712,0.995660359707237,2.90498953715003
"1SG9T1",9,1,91.0584003009057,0.555745647913101,0.0939503180763387,0.00506618936052605,31.9281692409549,0.458761834684867,0.995838371905796,1.5951743355863
"1SG9T2",9,2,62.254458232944,0.909818481332363,0.0547999828771936,0.00419490257515117,48.2865508840867,0.965863308325739,0.990053948770469,2.0819233964244
"1SG9T3",9,3,132.598894146736,6.2038760355065,0.0538285105639595,0.00582741881140189,31.5993760441812,2.35766813654527,0.985589684687227,4.15179148259566
"1SG9T4",9,4,175.269801953026,2.48721224025361,0.0676601159483947,0.00586090293530084,36.8497285137448,0.988052057369402,0.987382530458995,5.77137485082566
"1SG9T5",9,5,83.6573176877479,0.514451786294979,0.117213348601315,0.00850951331845002,29.1051412920123,0.513703096708126,0.994256656428041,1.61314679969618
"1SG10T1",10,1,312.735097574609,1.54571328199008,0.0480636231922403,0.00108983442139121,52.290355921828,0.311377364609164,0.999197666333741,3.07729199603772
"1SG10T2",10,2,290.580988399758,2.842671979803,0.0576674011168184,0.00306874007162475,48.6200159704819,0.648383874992955,0.995441226499208,6.79546225348836
"1SG10T3",10,3,241.247405224014,1.88491976611507,0.0495674485291885,0.00183599547651316,51.3520211789373,0.498524523983089,0.997831835254287,3.89018930458665
"1SG10T4",10,4,213.888778213556,1.39962534898898,0.051628971021097,0.00163765398213048,53.8577050810469,0.415455031340916,0.998469823268143,2.98165374096755
"1SG10T5",10,5,224.945364838749,2.25964298399969,0.0482659667903863,0.00216905291225518,45.6682462055663,0.631009873945043,0.996800798986651,4.1127805345642
