method,comparison,statistic,p_unadj,p_adj
Dunn BH-adjusted,SC1 - SC10,0.5056205829602306,0.6131230293263685,0.788301037705331
Dunn BH-adjusted,SC1 - SC2,-0.9630868246861536,0.3355039530729943,0.6039071155313898
Dunn BH-adjusted,SC10 - SC2,-1.4687074076463842,0.14191216739442153,0.4257365021832646
Dunn BH-adjusted,SC1 - SC3,-0.1926173649372309,0.8472586443445072,0.8970973881294781
Dunn BH-adjusted,SC10 - SC3,-0.6982379478974614,0.485028398201168,0.727542597301752
Dunn BH-adjusted,SC2 - SC3,0.7704694597489227,0.44102146442381873,0.6902944660546728
Dunn BH-adjusted,SC1 - SC4,-2.311408379246769,0.02081030855861114,0.24972370270333366
Dunn BH-adjusted,SC10 - SC4,-2.817028962206999,0.0048470154640855466,0.17449255670707967
Dunn BH-adjusted,SC2 - SC4,-1.3483215545606149,0.17755498237976733,0.49169072043627876
Dunn BH-adjusted,SC3 - SC4,-2.118791014309538,0.034108132481669134,0.24557855386801777
Dunn BH-adjusted,SC1 - SC6,-0.3130032180230001,0.7542782172825676,0.8485629944428885
Dunn BH-adjusted,SC10 - SC6,-0.8186238009832306,0.4130010832693703,0.6758199544407878
Dunn BH-adjusted,SC2 - SC6,0.6500836066631535,0.515638217796641,0.7139606092568875
Dunn BH-adjusted,SC3 - SC6,-0.1203858530857692,0.9041774974987763,0.9041774974987763
Dunn BH-adjusted,SC4 - SC6,1.9984051612237685,0.04567275254255773,0.2740365152553464
Dunn BH-adjusted,SC1 - SC7,-0.6741607772803077,0.5002091029655411,0.7203011082703792
Dunn BH-adjusted,SC10 - SC7,-1.1797813602405383,0.23808718489731062,0.5356961660189489
Dunn BH-adjusted,SC2 - SC7,0.28892604740584593,0.7726379704313898,0.8428777859251525
Dunn BH-adjusted,SC3 - SC7,-0.4815434123430768,0.63013033330426,0.7822307585845987
Dunn BH-adjusted,SC4 - SC7,1.6372476019664608,0.10157874442468248,0.36568347992885697
Dunn BH-adjusted,SC6 - SC7,-0.3611575592573076,0.7179816667337767,0.8615780000805321
Dunn BH-adjusted,SC1 - SC8,-2.1428681849266917,0.0321236842952628,0.2891131586573652
Dunn BH-adjusted,SC10 - SC8,-2.6484887678869224,0.008085253592707332,0.14553456466873196
Dunn BH-adjusted,SC2 - SC8,-1.1797813602405383,0.23808718489731062,0.5714092437535455
Dunn BH-adjusted,SC3 - SC8,-1.950250819989461,0.051146231266130895,0.2630377607972446
Dunn BH-adjusted,SC4 - SC8,0.16854019432007672,0.8661583254095341,0.8909057061355207
Dunn BH-adjusted,SC6 - SC8,-1.8298649669036917,0.0672701331740314,0.3027155992831413
Dunn BH-adjusted,SC7 - SC8,-1.4687074076463842,0.14191216739442153,0.4644398205635614
Dunn BH-adjusted,SC1 - SC9,-1.2760900427091537,0.20192369106641633,0.5192323484564991
Dunn BH-adjusted,SC10 - SC9,-1.7817106256693842,0.07479643322977915,0.2991857329191166
Dunn BH-adjusted,SC2 - SC9,-0.3130032180230001,0.7542782172825676,0.875935994263627
Dunn BH-adjusted,SC3 - SC9,-1.0834726777719228,0.27859867183796255,0.5899736580098031
Dunn BH-adjusted,SC4 - SC9,1.0353183365376148,0.30052026922940395,0.6010405384588079
Dunn BH-adjusted,SC6 - SC9,-0.9630868246861536,0.3355039530729943,0.6356917005593575
Dunn BH-adjusted,SC7 - SC9,-0.601929265428846,0.5472212227674071,0.7296282970232095
Dunn BH-adjusted,SC8 - SC9,0.8667781422175381,0.3860635805028646,0.6618232808620536
