Colony,emmean,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
SC1,1.232494133041882,0.022990124326705524,Inf,1.187434317361441,1.2775539487223229,53.60972022279176,0
SC10,1.199132017882513,0.023146860959571417,Inf,1.1537650040465968,1.244499031718429,51.805383891013605,0
SC2,1.322732640708308,0.026782926220933503,Inf,1.2702390699146848,1.3752262115019311,49.38715918481162,0
SC3,1.3859060179512381,0.02439761990295846,Inf,1.338087561632942,1.4337244742695343,56.80496800358722,0
SC4,1.4295969741918062,0.024896147290162016,Inf,1.3808014221492841,1.4783925262343283,57.422417915912916,0
SC6,1.3702728135296431,0.027166721274230685,Inf,1.3170270182541128,1.4235186088051734,50.43938868064405,0
SC7,1.1841228801151753,0.025610480257787054,Inf,1.1339272611831386,1.234318499047212,46.23587172892371,0
SC8,1.138832967113905,0.024978816134850146,Inf,1.0898753871131508,1.1877905471146593,45.59195123443096,0
SC9,1.1387652342369978,0.02797680540649721,Inf,1.0839317032377778,1.1935987652362179,40.7039051704072,0
