Colony,NN_level_c.trend,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
SC1,0.22683553375101792,0.021927423437985268,Inf,0.18385857353880736,0.2698124939632285,10.344833007514538,4.416856505351701e-25
SC10,0.2175516320060405,0.021927844580356844,Inf,0.17457384636994927,0.2605294176421317,9.921250180737106,3.365144327923765e-23
SC2,0.29594895346731787,0.02199177973360712,Inf,0.25284585723351005,0.3390520497011257,13.457253439795887,2.7909903195358e-41
SC3,0.2604505207754709,0.02194616507038425,Inf,0.21743682763874683,0.3034642139121949,11.867700800580495,1.741891641720797e-32
SC4,0.29391560810561973,0.021955621845164634,Inf,0.2508833800309162,0.33694783618032326,13.386804080447844,7.222216455152776e-41
SC6,0.35897545023538946,0.022024156825448508,Inf,0.3158088960676484,0.4021420044031305,16.299168820873994,1.0004336013868938e-59
SC7,0.24340035844196967,0.021965584221891314,Inf,0.20034860446768143,0.2864521124162579,11.080987238181095,1.5515226474420896e-28
SC8,0.23929410134195567,0.021955888486397936,Inf,0.19626135066003808,0.28232685202387325,10.898857565714211,1.1671346584580921e-27
SC9,0.2612049218309444,0.022008060896363896,Inf,0.21806991510450688,0.3043399285573819,11.868602284452052,1.7232254732333657e-32
