contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
SC1 - SC10,0.009283901744977433,0.03101035740795313,Inf,-0.08690186832549711,0.10546967181545198,0.29938067539319685,0.9999981520623977
SC1 - SC2,-0.06911341971629995,0.03105559972823251,Inf,-0.16543951926955341,0.027212679836953524,-2.225473676924978,0.38885990416508853
SC1 - SC3,-0.033614987024452946,0.03102331477977904,Inf,-0.1298409473697692,0.0626109733208633,-1.0835395012773799,0.9766901736033347
SC1 - SC4,-0.06708007435460182,0.031030005305132877,Inf,-0.1633267869061848,0.02916663819698115,-2.1617809502438488,0.43098235186307576
SC1 - SC6,-0.13213991648437157,0.031078535720021543,Inf,-0.22853715730193025,-0.035742675666812884,-4.251806380930741,7.144414786951492e-4
SC1 - SC7,-0.01656482469095175,0.031037055092867718,Inf,-0.11283340378387084,0.07970375440196735,-0.5337112249015639,0.9998388965963878
SC1 - SC8,-0.012458567590937749,0.03103019397064492,Inf,-0.1087058653320857,0.08378873015021021,-0.40149821824264975,0.9999817507442642
SC1 - SC9,-0.034369388079926476,0.03106713123297299,Inf,-0.1307312552526544,0.06199247909280144,-1.1062942317457574,0.9734863166372656
SC10 - SC2,-0.07839732146127738,0.031055897085606427,Inf,-0.1747243433369543,0.01792970041439952,-2.5243940384389165,0.22004763900578217
SC10 - SC3,-0.04289888876943038,0.031023612446600082,Inf,-0.13912577239699164,0.05332799485813089,-1.3827818679488346,0.9046329506703457
SC10 - SC4,-0.07636397609957926,0.03103030290777317,Inf,-0.17261161173433587,0.019883659535177345,-2.4609484582391845,0.25125576444958986
SC10 - SC6,-0.141423818229349,0.03107883285794747,Inf,-0.23782198068866262,-0.04502565577003538,-4.550486785515954,1.8490832373629917e-4
SC10 - SC7,-0.025848726435929184,0.03103735262791087,Inf,-0.1221182284023538,0.07042077553049543,-0.8328263929535109,0.9958977739538721
SC10 - SC8,-0.02174246933591518,0.03103049157147573,Inf,-0.11799069015462425,0.07450575148279388,-0.7006807895979833,0.9987929859662317
SC10 - SC9,-0.04365328982490391,0.031067428479974755,Inf,-0.14001607897771062,0.052709499327902795,-1.4051143580499965,0.8963058708495434
SC2 - SC3,0.035498432691847,0.031068835464948583,Inf,-0.06086872054910627,0.13186558593280026,1.1425736485004667,0.9677114338703359
SC2 - SC4,0.0020333453616981217,0.03107551618974918,Inf,-0.09435452968684739,0.09842122041024363,0.06543239215343613,0.9999999999897065
SC2 - SC6,-0.06302649676807162,0.031123975641351522,Inf,-0.1595646799736063,0.03351168643746305,-2.025014332819815,0.525654076197285
SC2 - SC7,0.0525485950253482,0.03108255565523037,Inf,-0.04386111454768492,0.14895830459838133,1.6906137194193573,0.7525799051351554
SC2 - SC8,0.0566548521253622,0.03107570457895741,Inf,-0.039733607255728345,0.15304331150645273,1.8231236553756354,0.6667571095440402
SC2 - SC9,0.03474403163637347,0.031112587810555942,Inf,-0.061758829587537596,0.13124689286028454,1.1167194399877416,0.971912930037133
SC3 - SC4,-0.03346508733014888,0.03104325195440104,Inf,-0.12975288741722685,0.0628227127569291,-1.0780148735482105,0.9774218681016983
SC3 - SC6,-0.09852492945991861,0.031091761692906752,Inf,-0.19496319368040554,-0.002086665239431698,-3.168843580915391,0.04082585393615734
SC3 - SC7,0.017050162333501196,0.031050298734562196,Inf,-0.07925949496623,0.11335981963323238,0.5491142767822262,0.9998003975349048
SC3 - SC8,0.0211564194335152,0.031043440539406966,Inf,-0.07513196559341948,0.11744480446044989,0.6815101375976336,0.9990127749552857
SC3 - SC9,-7.544010554735303e-4,0.031080362058937078,Inf,-0.09715730668407226,0.0956485045731252,-0.024272595475013273,1
SC4 - SC6,-0.06505984212976974,0.031098437492578634,Inf,-0.16151881288142717,0.031399128621887665,-2.092061446665791,0.47871106686533693
SC4 - SC7,0.05051524966365008,0.031056983446833195,Inf,-0.045815141811731755,0.14684564113903192,1.6265343268166308,0.7904099937371835
SC4 - SC8,0.05462150676366408,0.031050126728163478,Inf,-0.04168761701858133,0.1509306305459095,1.7591395758820072,0.7092912414539567
SC4 - SC9,0.03271068627467535,0.031087040306628295,Inf,-0.06371293347819001,0.1291343060275407,1.0522290302335686,0.9806092846321882
SC6 - SC7,0.11557509179341982,0.031105471770750417,Inf,0.019094302606910404,0.21205588097992922,3.7155871688819455,0.006309144098854302
SC6 - SC8,0.11968134889343382,0.03109862574293423,Inf,0.023221794239914814,0.2161409035469528,3.8484449403885974,0.0037925280954829166
SC6 - SC9,0.09777052840444508,0.031135481822030825,Inf,0.0011966561278478338,0.19434440068104233,3.140164297546366,0.04455289922744421
SC7 - SC8,0.004106257100014001,0.031057171948458903,Inf,-0.09222471905660158,0.10043723325662958,0.1322160661256782,0.9999999971646087
SC7 - SC9,-0.017804563388974726,0.031094077163136117,Inf,-0.1142500095739955,0.07864088279604606,-0.5726030489846181,0.9997267503127849
SC8 - SC9,-0.02191082048898873,0.031087228626000152,Inf,-0.1183350243577855,0.07451338337980806,-0.7048174268793895,0.99874057591268
