"contrast","genotype","estimate","SE","df","t.ratio","p.value"
"Main - NN1","1",3.5406363814887,1.75261387038949,8442,2.02020333246697,0.107408844370591
"Main - NN2","1",30.7569760091585,1.75261387038949,8442,17.5492026673982,2.01449967818235e-11
"NN1 - NN2","1",27.2163396276698,1.7526138703895,8442,15.5289993349312,2.01449967818235e-11
"Main - NN1","2",2.45931643146538,2.56649003521448,8442,0.95824117675168,0.603358862699442
"Main - NN2","2",32.7970688505281,2.56649003521447,8442,12.7789581882352,2.01449967818235e-11
"NN1 - NN2","2",30.3377524190627,2.56649003521449,8442,11.8207170114835,2.01449967818235e-11
"Main - NN1","3",0.386155216187694,2.15194593494968,8442,0.179444664438896,0.982404875354069
"Main - NN2","3",27.7556382902579,2.1519459349497,8442,12.8979254726986,2.01449967818235e-11
"NN1 - NN2","3",27.3694830740702,2.15194593494967,8442,12.7184808082598,2.01449967818235e-11
"Main - NN1","4",5.59758683219196,2.23274396529959,8442,2.50704376282611,0.0326609626230339
"Main - NN2","4",33.5338236265452,2.23274396529958,8442,15.0191083920568,2.01449967818235e-11
"NN1 - NN2","4",27.9362367943532,2.23274396529959,8442,12.5120646292307,2.01449967818235e-11
"Main - NN1","6",-2.62848651992334,2.5711352698484,8442,-1.022305808157,0.562759128757994
"Main - NN2","6",33.3778450337846,2.5711352698484,8442,12.9817537899329,2.01449967818235e-11
"NN1 - NN2","6",36.0063315537079,2.5711352698484,8442,14.0040595980899,2.01449967818235e-11
"Main - NN1","7",-4.89170379812205,2.38783590237641,8442,-2.04859295115454,0.100888508773934
"Main - NN2","7",29.4614980959795,2.38783590237641,8442,12.3381586090815,2.01449967818235e-11
"NN1 - NN2","7",34.3532018941015,2.38783590237642,8442,14.386751560236,2.01449967818235e-11
"Main - NN1","8",9.3507424781095,2.23580042664194,8442,4.18227958394025,8.6433455624535e-05
"Main - NN2","8",39.3107956444828,2.23580042664195,8442,17.5824260412749,2.01449967818235e-11
"NN1 - NN2","8",29.9600531663733,2.23580042664195,8442,13.4001464573346,2.01449967818235e-11
"Main - NN1","9",2.05628719646256,2.8165375713862,8442,0.730076252968475,0.745630235332742
"Main - NN2","9",34.7313864830109,2.8165375713862,8442,12.331234930382,2.01449967818235e-11
"NN1 - NN2","9",32.6750992865484,2.8165375713862,8442,11.6011586774136,2.01449967818235e-11
