genotype,emmean,SE,df,asymp.LCL,asymp.UCL
1,2.028864688579003,0.07954520236784726,Inf,1.8729589567950724,2.184770420362934
2,2.3548001076338383,0.0797719513943653,Inf,2.198449955924403,2.5111502593432737
3,2.2975489458801235,0.07960906927546996,Inf,2.1415180372574483,2.4535798545027987
4,2.461025782592074,0.0796429758883959,Inf,2.3049284182292262,2.617123146954922
6,2.608542938391355,0.07989944147417093,Inf,2.4519429107171145,2.765142966065596
7,2.0311721380842327,0.07967682052754341,Inf,1.875008439447586,2.1873358367208793
8,1.9725498263502774,0.07964329979558593,Inf,1.8164518271410028,2.1286478255595522
9,2.048327428748129,0.07982613189947844,Inf,1.8918710852000074,2.2047837722962504
10,1.9601232976330925,0.07954557683700184,Inf,1.8042168319031053,2.1160297633630796
