spacing_cluster,nn_rank,n,mean_distance,sd_distance,se_distance
Low-spacing,NN1,2147,1.1871129806677028,0.2796385391632985,0.0060350518055721945
Low-spacing,NN2,2147,1.4343415991741657,0.23894857750032805,0.005156896643778234
Low-spacing,NN3,2147,1.64410753301915,0.2784937910317778,0.006010346290020831
Low-spacing,NN4,2147,1.8739433321702788,0.3485770622676655,0.0075228565966404745
Low-spacing,NN5,2147,2.109711363807365,0.3920220905196243,0.008460470549923244
Low-spacing,NN6,2147,2.353331573987312,0.4251082177645244,0.009174522670801055
Low-spacing,NN7,2147,2.586037669248445,0.44280129183639094,0.009556367816119833
Low-spacing,NN8,2147,2.7967239744808117,0.4574683969132573,0.009872907658022559
High-spacing,NN1,1412,1.3809464305961148,0.3269303850877441,0.00870037431603423
High-spacing,NN2,1412,1.6852625310128762,0.2867759663510194,0.007631772285181333
High-spacing,NN3,1412,1.944615972494038,0.31868789499334726,0.008481022575148446
High-spacing,NN4,1412,2.2281071730010598,0.39239861765072936,0.010442635528476383
High-spacing,NN5,1412,2.523388576708307,0.4697935939792805,0.012502295000196275
High-spacing,NN6,1412,2.817775855694662,0.5229248634773712,0.013916241068241972
High-spacing,NN7,1412,3.100958636420861,0.55028178263049,0.014644272011899103
High-spacing,NN8,1412,3.3638349915002004,0.5765760066320617,0.015344022177678053
