spacing_cluster,nn_rank,n,mean_ratio,sd_ratio,se_ratio
Low-spacing,NN2,2147,1.266447571133012,0.37999357021523256,0.008200875633576648
Low-spacing,NN3,4294,1.3114761367957073,0.3931609654047314,0.005999835906737261
Low-spacing,NN4,6441,1.3820338588301844,0.42938821152945783,0.005350242507790644
Low-spacing,NN5,8588,1.4517069710134884,0.46514518940581534,0.005019292626073798
Low-spacing,NN6,10735,1.521410315741834,0.508926870106367,0.0049119547438198395
Low-spacing,NN7,12882,1.5797167188670196,0.5560201139771154,0.004898903165384096
Low-spacing,NN8,15029,1.621271888069246,0.5962988014937864,0.004864059672362401
High-spacing,NN2,1412,1.2815969641640135,0.37666275581647357,0.010023867820156223
High-spacing,NN3,2824,1.3332226478295832,0.40824005353077936,0.007682158547754509
High-spacing,NN4,4236,1.4051859110231637,0.4462257498826735,0.006856092247836847
High-spacing,NN5,5648,1.4789501518537014,0.49050883176893184,0.006526787714401333
High-spacing,NN6,7060,1.5468925064649004,0.535294728669776,0.006370750781172838
High-spacing,NN7,8472,1.605212512202442,0.5822934046874078,0.0063262871053253135
High-spacing,NN8,9884,1.6495924749269955,0.6298680787554852,0.006335534071439352
