colony,NN2,NN3,NN4,NN5,NN6,NN7,NN8
SC1,1.320 ± 0.021,1.326 ± 0.014,1.372 ± 0.012,1.429 ± 0.010,1.498 ± 0.010,1.554 ± 0.010,1.591 ± 0.009
SC2,1.242 ± 0.017,1.308 ± 0.014,1.396 ± 0.013,1.478 ± 0.013,1.568 ± 0.013,1.619 ± 0.013,1.670 ± 0.013
SC3,1.275 ± 0.020,1.306 ± 0.014,1.366 ± 0.012,1.442 ± 0.011,1.502 ± 0.011,1.564 ± 0.010,1.611 ± 0.011
SC4,1.269 ± 0.017,1.345 ± 0.014,1.425 ± 0.014,1.487 ± 0.012,1.542 ± 0.012,1.602 ± 0.012,1.647 ± 0.012
SC6,1.346 ± 0.026,1.381 ± 0.019,1.443 ± 0.016,1.521 ± 0.016,1.595 ± 0.016,1.653 ± 0.016,1.686 ± 0.016
SC7,1.241 ± 0.015,1.317 ± 0.013,1.394 ± 0.012,1.469 ± 0.012,1.541 ± 0.012,1.598 ± 0.012,1.644 ± 0.012
SC8,1.277 ± 0.020,1.333 ± 0.014,1.415 ± 0.013,1.487 ± 0.013,1.560 ± 0.012,1.619 ± 0.013,1.656 ± 0.012
SC9,1.247 ± 0.015,1.347 ± 0.015,1.443 ± 0.015,1.524 ± 0.014,1.580 ± 0.015,1.634 ± 0.015,1.687 ± 0.015
SC10,1.224 ± 0.011,1.261 ± 0.009,1.335 ± 0.008,1.410 ± 0.008,1.482 ± 0.008,1.545 ± 0.008,1.587 ± 0.008
