"contrast","colony","estimate","SE","df","z.ratio","p.value"
"main - NN1","SC1",2.60677257023494,1.68549644824182,Inf,1.54659036686438,0.269205174838723
"main - NN2","SC1",30.3926742393457,1.68549644824182,Inf,18.0318826960739,0
"NN1 - NN2","SC1",27.7859016691108,1.68549644824182,Inf,16.4852923292095,0
"main - NN1","SC2",1.19146722035866,2.46812667836563,Inf,0.482741518416566,0.879485459665364
"main - NN2","SC2",32.3024788408332,2.46812667836563,Inf,13.0878528739957,0
"NN1 - NN2","SC2",31.1110116204745,2.46812667836563,Inf,12.6051113555792,0
"main - NN1","SC3",-1.34471827143936,2.07013143809832,Inf,-0.649581107117844,0.792605261369731
"main - NN2","SC3",27.0804217680354,2.07013143809832,Inf,13.0814987249854,0
"NN1 - NN2","SC3",28.4251400394748,2.07013143809832,Inf,13.7310798321032,0
"main - NN1","SC4",1.54037033275787,2.15237174922639,Inf,0.715661842946744,0.75421978759123
"main - NN2","SC4",31.9510969661431,2.15237174922639,Inf,14.8445996736516,0
"NN1 - NN2","SC4",30.4107266333852,2.15237174922639,Inf,14.1289378307049,0
"main - NN1","SC6",7.08691248186414,2.49995712198787,Inf,2.83481361321466,0.0127385110773431
"main - NN2","SC6",37.1678377587752,2.49995712198787,Inf,14.8673900971633,0
"NN1 - NN2","SC6",30.0809252769111,2.49995712198787,Inf,12.0325764839486,0
"main - NN1","SC7",-4.25836678492057,2.29600337783054,Inf,-1.8546866376757,0.152085731026037
"main - NN2","SC7",29.7085638801078,2.29600337783054,Inf,12.939250946651,0
"NN1 - NN2","SC7",33.9669306650284,2.29600337783054,Inf,14.7939375843267,0
"main - NN1","SC8",4.66286712666953,2.15717846000324,Inf,2.16155835649431,0.0779197917644721
"main - NN2","SC8",37.4820479549276,2.15717846000324,Inf,17.3754970438891,0
"NN1 - NN2","SC8",32.819180828258,2.15717846000324,Inf,15.2139386873948,0
"main - NN1","SC9",10.3161622522732,2.72647852177811,Inf,3.7836946705692,0.000453711913215082
"main - NN2","SC9",37.9535769833799,2.72647852177811,Inf,13.9203652917933,0
"NN1 - NN2","SC9",27.6374147311066,2.72647852177811,Inf,10.1366706212241,2.98649993624167e-14
