"colony","angle_type","n","mean_angle","sd_angle","se_angle","lower_95","upper_95"
"SC1","main",594,71.4325374635487,35.1170838704603,1.44087140415375,68.6084295114074,74.25664541569
"SC1","NN1",594,67.8919010820602,31.6247964716223,1.29758111653664,65.3486420936484,70.4351600704721
"SC1","NN2",594,40.6755614543908,15.6429575444801,0.641838322492154,39.4175583423062,41.9335645664755
"SC2","main",277,71.7521284273308,34.7000265176412,2.08492252868824,67.6656802711019,75.8385765835598
"SC2","NN1",277,69.2928119958656,33.5266185911811,2.01441927936149,65.3445502083171,73.2410737834142
"SC2","NN2",277,38.9550595768033,14.5747136864837,0.875709674131865,37.2386686155048,40.6714505381018
"SC3","main",394,69.3805978354815,33.3073403851687,1.67799956705576,66.0917186840523,72.6694769869108
"SC3","NN1",394,68.994442619294,31.681214784628,1.59607654281751,65.8661325953717,72.1227526432163
"SC3","NN2",394,41.6249595452242,14.9610626215616,0.753727446003259,40.1476537510578,43.1022653393906
"SC4","main",366,73.0438034862454,37.6882890227257,1.96999842546642,69.1826065723312,76.9050004001595
"SC4","NN1",366,67.4462166540536,34.2521214886097,1.79038707118697,63.9370579945271,70.95537531358
"SC4","NN2",366,39.5099798597007,16.2695289271691,0.850421900295796,37.843152935121,41.1768067842805
"SC6","main",276,70.2497861714111,37.0293960779759,2.22890771804898,65.8811270440351,74.6184452987871
"SC6","NN1",276,72.8782726913347,37.3258603442691,2.24675276985256,68.4746372624236,77.2819081202457
"SC6","NN2",276,36.8719411376271,15.7661692056278,0.949011864857046,35.0118778825073,38.7320043927469
"SC7","main",320,68.1899314325183,37.454175367551,2.09375205407605,64.0861774065292,72.2936854585073
"SC7","NN1",320,73.0816352306407,35.2582285840778,1.9709948970056,69.2184852325097,76.9447852287716
"SC7","NN2",320,38.7284333365395,16.2199266472277,0.906721464331537,36.9512592664497,40.5056074066293
"SC8","main",365,76.2205127068116,37.1618080867558,1.94513793593145,72.4080423523859,80.0329830612372
"SC8","NN1",365,66.8697702287022,34.6691325866744,1.81466533713173,63.313026167924,70.4265142894804
"SC8","NN2",365,36.9097170623292,15.5926362563459,0.816155883281894,35.3100515310967,38.5093825935618
"SC9","main",230,72.2625578937029,41.3576836760364,2.72704490408581,66.9175498816947,77.6075659057111
"SC9","NN1",230,70.2062706972406,37.497801388486,2.47253180308411,65.3601083631957,75.0524330312854
"SC9","NN2",230,37.5311714106926,17.507351812565,1.15440059260757,35.2685462491818,39.7937965722034
