"genotype","angle_type","time_bin","n","mean","sd","se"
"1","Main","Early",102,57.2037078542786,38.878391797574,3.84953441132524
"1","Main","Mid",397,72.8702483991964,34.2135074144571,1.71712671494025
"1","Main","Late",95,80.7016888182161,30.1506542890415,3.093391860176
"1","NN1","Early",102,88.8027256129317,42.9697229796082,4.25463656306474
"1","NN1","Mid",397,64.9256859949492,27.6447111314943,1.38744827987546
"1","NN1","Late",95,57.8359356866306,22.1825493429904,2.27588154199689
"1","NN2","Early",102,33.9935665327894,17.6358157836176,1.74620596665383
"1","NN2","Mid",397,42.2040656058542,15.2176298341452,0.763750948119424
"1","NN2","Late",95,41.462375495153,13.2289176752541,1.35725831563273
"2","Main","Early",41,66.4831305151039,43.3028806619016,6.76277377358255
"2","Main","Mid",195,70.7626981662584,33.5948615920266,2.40577800773463
"2","Main","Late",41,81.7269531909995,28.7071308571685,4.48330061899249
"2","NN1","Early",41,86.9197750218365,46.4707901681103,7.25751811848983
"2","NN1","Mid",195,67.6227701913848,30.6786614025717,2.19694457460011
"2","NN1","Late",41,59.6087307229135,24.5637320493969,3.83621044017803
"2","NN2","Early",41,26.5970944630592,13.5863292319012,2.12182814640314
"2","NN2","Mid",195,41.6145316423566,13.9945270695787,1.00216889896728
"2","NN2","Late",41,38.6643160860866,11.8391162394502,1.84895932055143
"3","Main","Early",73,49.833919421197,40.5137209155796,4.74177237314331
"3","Main","Mid",247,71.3785719511785,30.5533240964675,1.94406145808429
"3","Main","Late",74,81.9942183444765,25.5124323533332,2.9657600196864
"3","NN1","Early",73,95.7812762804264,46.9039927888769,5.48969712408919
"3","NN1","Mid",247,65.1483263249311,24.4438291641995,1.55532360459631
"3","NN1","Late",74,55.4073056928746,16.2913629856589,1.89383247900131
"3","NN2","Early",73,34.3848042983763,19.3922082856392,2.26968630441752
"3","NN2","Mid",247,43.4731017238902,13.6501386522652,0.868537523694304
"3","NN2","Late",74,42.5984759626487,11.8862524562947,1.38174878155718
"4","Main","Early",74,56.7009611217358,42.2033895842267,4.90604438615185
"4","Main","Mid",211,74.3295557742297,36.2790395164434,2.49755207948552
"4","Main","Late",81,84.6249961061096,31.8303231356834,3.53670257063149
"4","NN1","Early",74,89.6906176042508,46.2580878603771,5.37739348657297
"4","NN1","Mid",211,64.7855351386376,29.4330852522375,2.02625715171103
"4","NN1","Late",81,54.0550824495867,21.637722466277,2.40419138514188
"4","NN2","Early",74,33.608421274013,20.0596165559924,2.33188305874054
"4","NN2","Mid",211,40.8849090871324,15.0174959761665,1.03384705890409
"4","NN2","Late",81,41.3199214443035,14.4215359597498,1.60239288441665
"6","Main","Early",96,64.8151482112043,47.087829345822,4.80588145802149
"6","Main","Mid",164,71.902700620594,30.568324749824,2.3869851354063
"6","Main","Late",16,85.9152408285271,21.4671454327608,5.36678635819021
"6","NN1","Early",96,85.5880569192479,48.5703551757622,4.95719111693189
"6","NN1","Mid",164,67.1851002652333,28.2239335802026,2.2039189412572
"6","NN1","Late",16,54.9745846913939,14.6667277958969,3.66668194897424
"6","NN2","Early",96,29.5967948694222,17.5912940583763,1.79540393159481
"6","NN2","Mid",164,40.9121991143987,13.5600956623412,1.0588655755786
"6","NN2","Late",16,39.1101744849482,8.75255139788242,2.1881378494706
"7","Main","Early",49,53.0011082710405,38.0266872185507,5.43238388836439
"7","Main","Mid",234,67.5989465939663,35.442649290456,2.31695846596745
"7","Main","Late",37,92.0424391928852,38.3556128955223,6.30562391750017
"7","NN1","Early",49,90.188355859644,41.9799047385633,5.99712924836618
"7","NN1","Mid",234,72.7948987131935,33.3469324010646,2.17995716707035
"7","NN1","Late",37,52.2402037241938,24.9673348918234,4.10460457192948
"7","NN2","Early",49,36.8105358646721,18.1733643482079,2.59619490688684
"7","NN2","Mid",234,39.606154693702,15.7418121604366,1.0290744536587
"7","NN2","Late",37,35.7173570810117,16.3613422720869,2.68978810048741
"8","Main","Early",41,57.5599085371291,43.8513121839502,6.84842438751917
"8","Main","Mid",251,75.1109047137793,34.7639840592305,2.19428321675675
"8","Main","Late",73,90.5163534904839,36.1570210391216,4.23185922161342
"8","NN1","Early",41,96.3473718708907,48.940028167907,7.64314830591638
"8","NN1","Mid",251,65.7939592961284,31.0436213241699,1.95945600317036
"8","NN1","Late",73,54.0128781293363,27.078646061176,3.16931579951802
"8","NN2","Early",41,26.0927195785463,16.1243561715364,2.51820136134059
"8","NN2","Mid",251,39.0951359916876,15.1875429738665,0.958629212191189
"8","NN2","Late",73,35.4707683714545,14.0865502241028,1.64870599826491
"9","Main","Early",64,63.542686924718,44.2753653201587,5.53442066501983
"9","Main","Mid",152,71.6725566925702,38.1718573044626,3.0961464695653
"9","Main","Late",14,118.530552507075,31.9679859683168,8.5438036313313
"9","NN1","Early",64,81.8514781811788,44.6209559324694,5.57761949155868
"9","NN1","Mid",152,68.5013010746036,33.0140535964316,2.67779334585015
"9","NN1","Late",14,35.4821352450096,21.4437820983833,5.73109183491335
"9","NN2","Early",64,34.6058348955893,20.1958999619834,2.52448749524793
"9","NN2","Mid",152,39.8261422341693,16.130229283459,1.30833435876388
"9","NN2","Late",14,25.987312253418,12.3797902406612,3.30863811433441
