"angle_type","genotype","emmean","SE","df","asymp.LCL","asymp.UCL"
"Main","1",70.9998156031898,1.19182596821763,Inf,68.6638796296437,73.335751576736
"NN1","1",68.393043032955,1.19182596821763,Inf,66.0571070594089,70.7289790065012
"NN2","1",40.6071413638442,1.19182596821763,Inf,38.271205390298,42.9430773373903
"Main","2",71.1646486870589,1.74522911109977,Inf,67.7440624845325,74.5852348895853
"NN1","2",69.9731814667004,1.74522911109977,Inf,66.552595264174,73.3937676692268
"NN2","2",38.8621698462258,1.74522911109977,Inf,35.4415836436994,42.2827560487522
"Main","3",68.5785678321919,1.46380397782678,Inf,65.7095647552249,71.4475709091588
"NN1","3",69.9232861036314,1.46380397782678,Inf,67.0542830266644,72.7922891805984
"NN2","3",41.4981460641566,1.46380397782678,Inf,38.6291429871896,44.3671491411235
"Main","4",71.1638224329514,1.52195665951233,Inf,68.1808421942764,74.1468026716265
"NN1","4",69.6234521001937,1.52195665951233,Inf,66.6404718615186,72.6064323388688
"NN2","4",39.2127254668084,1.52195665951233,Inf,36.2297452281334,42.1957057054835
"Main","6",74.7515834137072,1.76773663363323,Inf,71.286883277634,78.2162835497804
"NN1","6",67.6646709318432,1.76773663363323,Inf,64.19997079577,71.1293710679164
"NN2","6",37.583745654932,1.76773663363323,Inf,34.1190455188588,41.0484457910052
"Main","7",68.4833990316307,1.6235195580912,Inf,65.3013591695756,71.6654388936858
"NN1","7",72.7417658165514,1.6235195580912,Inf,69.5597259544963,75.9238056786066
"NN2","7",38.774835151523,1.6235195580912,Inf,35.5927952894678,41.9568750135781
"Main","8",74.0483050264621,1.52535551729785,Inf,71.0586631489389,77.0379469039854
"NN1","8",69.3854378997928,1.52535551729785,Inf,66.3957960222695,72.375079777316
"NN2","8",36.5662570715347,1.52535551729785,Inf,33.5766151940114,39.5558989490579
"Main","9",76.0899130791272,1.92791145150878,Inf,72.3112760687876,79.8685500894667
"NN1","9",65.7737508268541,1.92791145150878,Inf,61.9951138165146,69.5523878371937
"NN2","9",38.1363360957474,1.92791145150878,Inf,34.3576990854079,41.9149731060869
